IP:PORT, LOSS, DELAY
[2606:4700:d0::bd90:9630:ecd0:c2ee]:3854,0.00%,timeout ms
[2606:4700:d0::e524:49ed:3252:2ef6]:878,0.00%,timeout ms
[2606:4700:d0::a0ea:272f:8ca8:37d9]:3854,0.00%,timeout ms
[2606:4700:d0::eac7:58c1:526f:757f]:3854,0.00%,timeout ms
[2606:4700:d0::bd90:9630:ecd0:c2ee]:878,0.00%,timeout ms
[2606:4700:d0::a0ea:272f:8ca8:37d9]:878,0.00%,timeout ms
[2606:4700:d0::eac7:58c1:526f:757f]:878,0.00%,timeout ms
[2606:4700:d0::eed9:f4f1:b70f:46f7]:878,0.00%,timeout ms
[2606:4700:d1::45d0:53db:4550:ff8f]:3854,0.00%,timeout ms
[2606:4700:d0::eed9:f4f1:b70f:46f7]:3854,0.00%,timeout ms
[2606:4700:d0::f513:2c3d:e31f:4a85]:3854,0.00%,timeout ms
[2606:4700:d0::f5cc:1df7:f724:238b]:878,0.00%,timeout ms
[2606:4700:d0::f513:2c3d:e31f:4a85]:878,0.00%,timeout ms
[2606:4700:d1::a075:b397:d309:c836]:3854,0.00%,timeout ms
[2606:4700:d0::f8b9:3609:536e:21e3]:3854,0.00%,timeout ms
[2606:4700:d1::45d0:53db:4550:ff8f]:878,0.00%,timeout ms
[2606:4700:d1::c20a:7b3e:8a16:b2d8]:3854,0.00%,timeout ms
[2606:4700:d0::f8b9:3609:536e:21e3]:878,0.00%,timeout ms
[2606:4700:d1::a075:b397:d309:c836]:878,0.00%,timeout ms
[2606:4700:d1::a5e4:8df0:d0a9:97f3]:3854,0.00%,timeout ms
[2606:4700:d0::f9c2:daab:81c1:723d]:3854,0.00%,timeout ms
[2606:4700:d1::a5e4:8df0:d0a9:97f3]:878,0.00%,timeout ms
[2606:4700:d1::54e:75d9:5777:1ac9]:3854,0.00%,timeout ms
[2606:4700:d0::f9c2:daab:81c1:723d]:878,0.00%,timeout ms
[2606:4700:d1::a67a:a6af:be88:8cbf]:3854,0.00%,timeout ms
[2606:4700:d1::54e:75d9:5777:1ac9]:878,0.00%,timeout ms
[2606:4700:d0::fd6e:8d81:3eb6:8b00]:3854,0.00%,timeout ms
[2606:4700:d1::6be3:d5a:48d3:ddb6]:3854,0.00%,timeout ms
[2606:4700:d1::a67a:a6af:be88:8cbf]:878,0.00%,timeout ms
[2606:4700:d0::fd6e:8d81:3eb6:8b00]:878,0.00%,timeout ms
[2606:4700:d1::6be3:d5a:48d3:ddb6]:878,0.00%,timeout ms
[2606:4700:d1::aadf:4e1:bc1e:4cd4]:3854,0.00%,timeout ms
[2606:4700:d0::ffe4:9038:5387:3177]:3854,0.00%,timeout ms
[2606:4700:d1::7203:b779:df3e:a04b]:3854,0.00%,timeout ms
[2606:4700:d1::aadf:4e1:bc1e:4cd4]:878,0.00%,timeout ms
[2606:4700:d0::ffe4:9038:5387:3177]:878,0.00%,timeout ms
[2606:4700:d1::7203:b779:df3e:a04b]:878,0.00%,timeout ms
[2606:4700:d1::b15b:31ad:6068:33ec]:3854,0.00%,timeout ms
[2606:4700:d1::b15b:31ad:6068:33ec]:878,0.00%,timeout ms
[2606:4700:d1::150d:ca3c:4d79:e78e]:878,0.00%,timeout ms
[2606:4700:d1::b918:4be1:8b03:5eb4]:3854,0.00%,timeout ms
[2606:4700:d1::8974:3328:59c4:f6a3]:3854,0.00%,timeout ms
[2606:4700:d1::c5d9:889b:6d6e:eb04]:3854,0.00%,timeout ms
[2606:4700:d1::b918:4be1:8b03:5eb4]:878,0.00%,timeout ms
[2606:4700:d1::7979:b003:8e6b:31e]:3854,0.00%,timeout ms
[2606:4700:d1::150d:ca3c:4d79:e78e]:3854,0.00%,timeout ms
[2606:4700:d1::c20a:7b3e:8a16:b2d8]:878,0.00%,timeout ms
[2606:4700:d1::c5d9:889b:6d6e:eb04]:878,0.00%,timeout ms
[2606:4700:d1::3191:b45f:17ac:1eb4]:878,0.00%,timeout ms
[2606:4700:d1::3664:b15b:ec8a:2ac2]:3854,0.00%,timeout ms
[2606:4700:d1::8978:525d:cc90:a830]:3854,0.00%,timeout ms
[2606:4700:d1::1851:6fb4:ca2b:818c]:3854,0.00%,timeout ms
[2606:4700:d1::ca36:d431:b99e:bd44]:878,0.00%,timeout ms
[2606:4700:d1::8978:525d:cc90:a830]:878,0.00%,timeout ms
[2606:4700:d1::1851:6fb4:ca2b:818c]:878,0.00%,timeout ms
[2606:4700:d1::cb0e:6b78:4321:2055]:3854,0.00%,timeout ms
[2606:4700:d1::8985:88e7:3b7d:e114]:3854,0.00%,timeout ms
[2606:4700:d1::1dda:5d26:ecd8:5e5f]:3854,0.00%,timeout ms
[2606:4700:d1::36d1:d4b2:f1da:5722]:878,0.00%,timeout ms
[2606:4700:d1::8985:88e7:3b7d:e114]:878,0.00%,timeout ms
[2606:4700:d1::1dda:5d26:ecd8:5e5f]:878,0.00%,timeout ms
[2606:4700:d1::38e9:82bc:7260:62c0]:3854,0.00%,timeout ms
[2606:4700:d1::92f6:b855:8da:835a]:3854,0.00%,timeout ms
[2606:4700:d1::1e79:c3cd:7810:99f0]:3854,0.00%,timeout ms
[2606:4700:d1::38e9:82bc:7260:62c0]:878,0.00%,timeout ms
[2606:4700:d1::92f6:b855:8da:835a]:878,0.00%,timeout ms
[2606:4700:d1::1e79:c3cd:7810:99f0]:878,0.00%,timeout ms
[2606:4700:d1::396f:739d:b1ac:e40b]:3854,0.00%,timeout ms
[2606:4700:d1::952c:ba6b:ae1d:d64c]:3854,0.00%,timeout ms
[2606:4700:d1::cbc4:fb01:5dae:f650]:878,0.00%,timeout ms
[2606:4700:d1::952c:ba6b:ae1d:d64c]:878,0.00%,timeout ms
[2606:4700:d1::20ff:c44b:835a:a41b]:878,0.00%,timeout ms
[2606:4700:d1::d4db:3b72:17cd:660b]:3854,0.00%,timeout ms
[2606:4700:d1::d4db:3b72:17cd:660b]:878,0.00%,timeout ms
[2606:4700:d1::3191:b45f:17ac:1eb4]:3854,0.00%,timeout ms
[2606:4700:d1::cbc4:fb01:5dae:f650]:3854,0.00%,timeout ms
[2606:4700:d1::e90b:feb4:dff8:76d7]:3854,0.00%,timeout ms
[2606:4700:d1::cb8d:596e:9bc9:85f7]:3854,0.00%,timeout ms
[2606:4700:d1::cb0e:6b78:4321:2055]:878,0.00%,timeout ms
[2606:4700:d1::ca36:d431:b99e:bd44]:3854,0.00%,timeout ms
[2606:4700:d1::7979:b003:8e6b:31e]:878,0.00%,timeout ms
[2606:4700:d1::cbea:e899:7cb3:6507]:3854,0.00%,timeout ms
[2606:4700:d1::dbdd:8a02:9eef:f7d8]:3854,0.00%,timeout ms
[2606:4700:d1::ced3:dafc:8f2c:bdc5]:3854,0.00%,timeout ms
[2606:4700:d1::ed5c:c96b:7624:3a5a]:3854,0.00%,timeout ms
[2606:4700:d1::dbdd:8a02:9eef:f7d8]:878,0.00%,timeout ms
[2606:4700:d1::cbea:e899:7cb3:6507]:878,0.00%,timeout ms
[2606:4700:d1::ed5c:c96b:7624:3a5a]:878,0.00%,timeout ms
[2606:4700:d1::ce61:5b95:6d19:e785]:3854,0.00%,timeout ms
[2606:4700:d1::e515:2e6b:d00e:aba4]:878,0.00%,timeout ms
[2606:4700:d1::ce61:5b95:6d19:e785]:878,0.00%,timeout ms
[2606:4700:d1::ced3:dafc:8f2c:bdc5]:878,0.00%,timeout ms
[2606:4700:d1::d06c:bf8c:c93a:50a5]:3854,0.00%,timeout ms
[2606:4700:d1::396f:739d:b1ac:e40b]:878,0.00%,timeout ms
[2606:4700:d1::e692:c456:17f8:19f0]:3854,0.00%,timeout ms
[2606:4700:d1::e692:c456:17f8:19f0]:878,0.00%,timeout ms
[2606:4700:d1::ec41:e5e2:52b1:e6be]:3854,0.00%,timeout ms
[2606:4700:d1::ec41:e5e2:52b1:e6be]:878,0.00%,timeout ms
[2606:4700:d1::efb3:4def:b5f7:60b9]:3854,0.00%,timeout ms
[2606:4700:d1::d06c:bf8c:c93a:50a5]:878,0.00%,timeout ms
[2606:4700:d1::e67:8637:2e50:5c45]:3854,0.00%,timeout ms
[2606:4700:d1::efb3:4def:b5f7:60b9]:878,0.00%,timeout ms
[2606:4700:d1::20ff:c44b:835a:a41b]:3854,0.00%,timeout ms
[2606:4700:d1::e90b:feb4:dff8:76d7]:878,0.00%,timeout ms
[2606:4700:d1::f053:6639:efe3:8f22]:3854,0.00%,timeout ms
[2606:4700:d1::8974:3328:59c4:f6a3]:878,0.00%,timeout ms
[2606:4700:d1::1774:c559:e4b6:e79]:878,0.00%,timeout ms
[2606:4700:d1::36d1:d4b2:f1da:5722]:3854,0.00%,timeout ms
[2606:4700:d1::3664:b15b:ec8a:2ac2]:878,0.00%,timeout ms
[2606:4700:d1::1774:c559:e4b6:e79]:3854,0.00%,timeout ms
[2606:4700:d1::e515:2e6b:d00e:aba4]:3854,0.00%,timeout ms
[2606:4700:d1::cb8d:596e:9bc9:85f7]:878,0.00%,timeout ms
[2606:4700:d1::e67:8637:2e50:5c45]:878,0.00%,timeout ms
[2606:4700:d1::ff57:a71d:529f:b033]:878,0.00%,timeout ms
[2606:4700:d1::fd6b:b5e1:292f:ffe6]:3854,0.00%,timeout ms
[2606:4700:d1::f053:6639:efe3:8f22]:878,0.00%,timeout ms
[2606:4700:d1::f9a5:b16:287c:431a]:3854,0.00%,timeout ms
[2606:4700:d1::f9a5:b16:287c:431a]:878,0.00%,timeout ms
[2606:4700:d1::fd6b:b5e1:292f:ffe6]:878,0.00%,timeout ms
[2606:4700:d1::ff57:a71d:529f:b033]:3854,0.00%,timeout ms
